signal_month,return_month,ticker,score_method_source,score_return,score_ma_pos,score_momentum,score_vol,score_rs,benchmark_rs_note,next_month_return,alignment_rule
2012-03,2012-04,069500,zscore_from_data_pipeline,,,,,,benchmark_self_comparison,-0.5421,signal_month_t_to_return_month_t_plus_1
2012-03,2012-04,114260,zscore_from_data_pipeline,,,,,,,0.6984,signal_month_t_to_return_month_t_plus_1
2012-03,2012-04,153130,zscore_from_data_pipeline,,,,,,,0.294,signal_month_t_to_return_month_t_plus_1
2012-04,2012-05,069500,zscore_from_data_pipeline,,,,,,benchmark_self_comparison,-7.7546,signal_month_t_to_return_month_t_plus_1
2012-04,2012-05,114260,zscore_from_data_pipeline,,,,,,,0.6467,signal_month_t_to_return_month_t_plus_1
2012-04,2012-05,153130,zscore_from_data_pipeline,,,,,,,0.3129,signal_month_t_to_return_month_t_plus_1
2012-05,2012-06,069500,zscore_from_data_pipeline,,,,,,benchmark_self_comparison,0.3673,signal_month_t_to_return_month_t_plus_1
2012-05,2012-06,114260,zscore_from_data_pipeline,,,,,,,0.2782,signal_month_t_to_return_month_t_plus_1
2012-05,2012-06,153130,zscore_from_data_pipeline,,,,,,,0.2526,signal_month_t_to_return_month_t_plus_1
2012-06,2012-07,069500,zscore_from_data_pipeline,,-0.6828257102259722,,,,benchmark_self_comparison,2.0355,signal_month_t_to_return_month_t_plus_1
2012-06,2012-07,114260,zscore_from_data_pipeline,,-0.7738252113054702,,,,,1.4827,signal_month_t_to_return_month_t_plus_1
2012-06,2012-07,153130,zscore_from_data_pipeline,,-4.619091512008257,,,,,0.3606,signal_month_t_to_return_month_t_plus_1
2012-07,2012-08,069500,zscore_from_data_pipeline,-4.260854652089762,-9.856049530507685,-3.607265640201077,2.9219705062511023,,benchmark_self_comparison,0.0,signal_month_t_to_return_month_t_plus_1
2012-07,2012-08,114260,zscore_from_data_pipeline,-7.688266323312558,-4.572579384596546,-6.985062136687925,9.239987538748686,4.166327462214915,,0.4901,signal_month_t_to_return_month_t_plus_1
2012-07,2012-08,153130,zscore_from_data_pipeline,-7.816239984386188,-4.044370513811665,-4.973536369983736,8.83025476562497,5.154044651966125,,0.2412,signal_month_t_to_return_month_t_plus_1
2012-08,2012-09,069500,zscore_from_data_pipeline,-1.1118317316062454,-0.3423269517569633,-3.4641173537614804,-2.022883178666613,,benchmark_self_comparison,4.9252,signal_month_t_to_return_month_t_plus_1
2012-08,2012-09,114260,zscore_from_data_pipeline,2.734678612680284,-6.992976642250691,-1.7484237419685695,-0.8430402811660004,0.8233820441559847,,0.1501,signal_month_t_to_return_month_t_plus_1
2012-08,2012-09,153130,zscore_from_data_pipeline,6.635608156595733,-10.0,-1.8813349877952803,-4.145652750999038,0.7146806806703023,,0.2013,signal_month_t_to_return_month_t_plus_1
2012-09,2012-10,069500,zscore_from_data_pipeline,-4.704920088374592,-5.037031508089116,-4.770571006418584,1.341473644562795,,benchmark_self_comparison,-4.599,signal_month_t_to_return_month_t_plus_1
2012-09,2012-10,114260,zscore_from_data_pipeline,4.041858568536474,-1.9456536397236055,-5.523457057522584,-0.6912128969756444,4.654815017682278,,0.2864,signal_month_t_to_return_month_t_plus_1
2012-09,2012-10,153130,zscore_from_data_pipeline,5.685517889699044,-5.551528066396994,-7.270867069635046,-1.5986760730267546,4.487772859849422,,0.2401,signal_month_t_to_return_month_t_plus_1
2012-10,2012-11,069500,zscore_from_data_pipeline,3.4441934925014026,0.9893132372946682,1.489135240588893,-4.20114910280333,,benchmark_self_comparison,1.8127,signal_month_t_to_return_month_t_plus_1
2012-10,2012-11,114260,zscore_from_data_pipeline,2.7972921702605658,-0.0921371350683176,-1.5008708003022146,-4.013493937724187,-3.118077820124028,,0.0553,signal_month_t_to_return_month_t_plus_1
2012-10,2012-11,153130,zscore_from_data_pipeline,2.9615098387463217,-4.020576996836492,-4.721468202441335,-0.7466404268425088,-3.427220346892187,,0.22,signal_month_t_to_return_month_t_plus_1
2012-11,2012-12,069500,zscore_from_data_pipeline,-2.246794900101813,-2.661430264198448,-4.705855852251303,-3.799278308385991,,benchmark_self_comparison,4.1284,signal_month_t_to_return_month_t_plus_1
2012-11,2012-12,114260,zscore_from_data_pipeline,4.280655255268676,3.288263274123161,1.5475393352245854,-3.291052598336127,3.6903156718608647,,0.188,signal_month_t_to_return_month_t_plus_1
2012-11,2012-12,153130,zscore_from_data_pipeline,5.055989128914787,-1.7083076216560338,-2.965557228519936,10.0,3.434527640876057,,0.2168,signal_month_t_to_return_month_t_plus_1
2012-12,2013-01,069500,zscore_from_data_pipeline,-4.996448796406785,-5.40869442570034,-6.443244156907527,-7.145424694939788,,benchmark_self_comparison,-2.1421,signal_month_t_to_return_month_t_plus_1
2012-12,2013-01,114260,zscore_from_data_pipeline,2.218777277602088,2.5483272279295868,0.8700452729618507,-0.2354093528406232,4.431983889238275,,0.3805,signal_month_t_to_return_month_t_plus_1
2012-12,2013-01,153130,zscore_from_data_pipeline,0.5395953946401498,-2.7705913829474187,-3.347721775261014,-1.4837119651540402,4.424709297260177,,0.2299,signal_month_t_to_return_month_t_plus_1
2013-01,2013-02,069500,zscore_from_data_pipeline,3.31796767497228,-0.109813273002213,-2.4368881046393693,-4.942338957312657,,benchmark_self_comparison,3.9171,signal_month_t_to_return_month_t_plus_1
2013-01,2013-02,114260,zscore_from_data_pipeline,2.606523266169789,2.649011054183357,2.9831915933833217,-3.4360001486147462,-3.402312243632603,,0.6288,signal_month_t_to_return_month_t_plus_1
2013-01,2013-02,153130,zscore_from_data_pipeline,3.8673564424810496,-1.5097337236039272,-1.8088170976880888,-1.249834760276448,-3.5233127184676247,,0.2493,signal_month_t_to_return_month_t_plus_1
2013-02,2013-03,069500,zscore_from_data_pipeline,-3.5553284218929804,-4.428265103606426,-5.738376752900698,-2.5655737693110714,,benchmark_self_comparison,-1.8478,signal_month_t_to_return_month_t_plus_1
2013-02,2013-03,114260,zscore_from_data_pipeline,-2.253842924965588,-2.477904586475892,0.0479629652859556,-5.572535650361368,3.701336717670822,,0.6075,signal_month_t_to_return_month_t_plus_1
2013-02,2013-03,153130,zscore_from_data_pipeline,-0.6839088012244079,-3.1295023039425987,-2.896546350202281,-1.4219020078417444,3.926472723443583,,0.2188,signal_month_t_to_return_month_t_plus_1
2013-03,2013-04,069500,zscore_from_data_pipeline,1.7416577738417098,-1.4238584492985145,-0.1873397102993176,-3.765137602988719,,benchmark_self_comparison,-2.8992,signal_month_t_to_return_month_t_plus_1
2013-03,2013-04,114260,zscore_from_data_pipeline,-1.6542967826954311,-5.032173881644251,-2.878502699113002,-0.2332867810751446,-0.9048103828670364,,0.1926,signal_month_t_to_return_month_t_plus_1
2013-03,2013-04,153130,zscore_from_data_pipeline,1.7000953153005252,-2.6210192797852034,-2.4798955159183134,-1.11237385139146,-0.7629258977636066,,0.1935,signal_month_t_to_return_month_t_plus_1
2013-04,2013-05,069500,zscore_from_data_pipeline,1.4540783468364449,0.5332768209872918,-0.4284331361908184,-1.078144716339558,,benchmark_self_comparison,2.1297,signal_month_t_to_return_month_t_plus_1
2013-04,2013-05,114260,zscore_from_data_pipeline,3.2875466005012584,-1.9534888362092515,0.2812758787598091,4.650618923689828,-1.9113135743908267,,-0.595,signal_month_t_to_return_month_t_plus_1
2013-04,2013-05,153130,zscore_from_data_pipeline,4.355039725016488,-0.69191091333765,-0.9205546368443638,-0.7314660489762491,-2.1546564613375185,,0.218,signal_month_t_to_return_month_t_plus_1
2013-05,2013-06,069500,zscore_from_data_pipeline,-2.506824451767243,-1.636662958785133,-1.0956840420069485,-2.3403570855758264,,benchmark_self_comparison,-7.5186,signal_month_t_to_return_month_t_plus_1
2013-05,2013-06,114260,zscore_from_data_pipeline,10.0,10.0,9.47457104307809,3.2304037349450936,2.863567827872125,,-0.2782,signal_month_t_to_return_month_t_plus_1
2013-05,2013-06,153130,zscore_from_data_pipeline,3.1526589593500463,0.8378368035975432,-0.0751978572657288,-1.169802840036302,1.9432500912298776,,0.1828,signal_month_t_to_return_month_t_plus_1
2013-06,2013-07,069500,zscore_from_data_pipeline,7.695176565437213,6.010211034552126,7.897204586687964,6.260124607035657,,benchmark_self_comparison,2.6278,signal_month_t_to_return_month_t_plus_1
